loss,accuracy,val_loss,val_accuracy,lr,policy
2.004711866,0.333666652,3.10353756,0.103,0.001,1
1.481850028,0.481000006,3.545057535,0.118000001,0.001,1
1.254290462,0.56099999,3.143006802,0.150600001,0.001,1
1.075445414,0.626066685,2.311152697,0.291799992,0.001,1
0.930704534,0.676977754,1.937514305,0.395599991,0.001,1
0.811928988,0.717755556,1.045396924,0.639400005,0.001,1
0.722509205,0.749933362,0.982293248,0.671400011,0.001,1
0.657233477,0.772266686,0.769323885,0.740199983,0.001,1
0.602858484,0.790777802,0.699016154,0.760200024,0.001,1
0.546519458,0.811844468,0.66609931,0.776600003,0.001,1
0.500672102,0.828400016,0.598029613,0.802399993,0.001,1
0.466216981,0.838800013,0.591029227,0.799399972,0.001,1
0.426258385,0.852222204,0.569625854,0.812399983,0.001,1
0.401619315,0.862155557,0.646707535,0.791000009,0.001,1
0.35888508,0.875355542,0.558684349,0.82160002,0.001,1
0.341022283,0.881977797,0.624095857,0.809599996,0.001,1
0.307527274,0.894800007,0.585712194,0.816399992,0.001,1
0.282276094,0.903288901,0.60561806,0.8204,0.001,1
0.271316558,0.90413332,0.624226213,0.814800024,0.001,1
0.258145988,0.909600019,0.666218519,0.816799998,0.001,1
0.230550691,0.920355558,0.634785771,0.818599999,0.001,1
0.222257853,0.922288895,0.635578096,0.820599973,0.001,1
0.202883989,0.9294222,0.632601202,0.824400008,0.001,1
0.193269536,0.932488918,0.612711549,0.834200025,0.001,1
0.171084747,0.939688861,0.71185863,0.817200005,0.001,1
0.114419237,0.961133361,0.552021265,0.848999977,0.000333333,1
0.0875756,0.971955538,0.556801736,0.856000006,0.000333333,1
0.076317988,0.975777805,0.569037735,0.851999998,0.000333333,1
0.070476286,0.977222204,0.590296268,0.84859997,0.000333333,1
0.065597028,0.978755534,0.580920815,0.850799978,0.000333333,1
0.060411438,0.980422199,0.580423832,0.854399979,0.000333333,1
0.056376871,0.982022226,0.618715525,0.848999977,0.000333333,1
0.054764148,0.982333362,0.636390746,0.84740001,0.000333333,1
0.05136326,0.983111084,0.639342606,0.848999977,0.000333333,1
0.049674436,0.984266639,0.659142792,0.84859997,0.000333333,1
0.049390826,0.983533323,0.650737107,0.851999998,0.000333333,1
